OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2BRNOAK10082320111252SRW,Sample-Routine,Water,,8/23/2011,12:52:00,CDT,,,,0,m,,,,,,PBMP,,21NEB001_WQX-LLP2BRNOAK10,,,,,GRAB,QAPP,Grab Sample,Water Bottle,,Microcystin,,4.85,ug/l,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2BRNOAK09060720111249SRW,Sample-Routine,Water,,6/7/2011,12:49:00,CDT,,,,0,m,,,,,,PBMP,,21NEB001_WQX-LLP2BRNOAK09,,,,,GRAB,QAPP,Grab Sample,Water Bottle,Not Reported,Microcystin,,,,,Final,,Actual,,,,,,"Sampled for, but analysis lost or not used for not meeting QC criteria. Accompanying value is not meaningful for analysis.",,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,Lower Reporting Limit,0.15,ug/l,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2BLUEST05051020110045SRW,Sample-Routine,Water,,5/10/2011,10:48:00,CDT,,,,0,m,,,,,,PBMP,,21NEB001_WQX-LLP2BLUEST05,,,,,GRAB,QAPP,Grab Sample,Water Bottle,Not Reported,Microcystin,,,,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,Lower Reporting Limit,0.15,ug/l,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2BLUEST05092020111151SRW,Sample-Routine,Water,,9/20/2011,11:51:00,CDT,,,,0,m,,,,,,PBMP,,21NEB001_WQX-LLP2BLUEST05,,,,,GRAB,QAPP,Grab Sample,Water Bottle,,Microcystin,,1.43,ug/l,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LBB1ROCKFD04100320110005SRW,Sample-Routine,Water,,10/3/2011,12:00:00,CDT,,,,0,m,,,,,,PBMP,,21NEB001_WQX-LBB1ROCKFD04,,,,,GRAB,QAPP,Grab Sample,Water Bottle,,Microcystin,,8.75,ug/l,,Final,,Actual,,,,,,Special follow-up sample.,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LNI3VALMPD03052320111213SRW,Sample-Routine,Water,,5/23/2011,12:13:00,CDT,,,,0,m,,,,,,PBMP,,21NEB001_WQX-LNI3VALMPD03,,,,,GRAB,QAPP,Grab Sample,Water Bottle,Not Reported,Microcystin,,,,,Final,,Actual,,,,,,"Sampled for, but analysis lost or not used for not meeting QC criteria. Accompanying value is not meaningful for analysis.",,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,Lower Reporting Limit,0.15,ug/l,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LNI3VALMPD03090620111023SRW,Sample-Routine,Water,,9/6/2011,10:23:00,CDT,,,,0,m,,,,,,PBMP,,21NEB001_WQX-LNI3VALMPD03,,,,,GRAB,QAPP,Grab Sample,Water Bottle,Not Reported,Microcystin,,,,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,Lower Reporting Limit,0.15,ug/l,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1FRMT2004050920111215SRW,Sample-Routine,Water,,5/9/2011,12:15:00,CDT,,,,0,m,,,,,,PBMP,,21NEB001_WQX-LLP1FRMT2004,,,,,GRAB,QAPP,Grab Sample,Water Bottle,Not Reported,Microcystin,,,,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,Lower Reporting Limit,0.15,ug/l,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LBB2SWNCRK04053120111050SRW,Sample-Routine,Water,,5/31/2011,10:50:00,CDT,,,,0,m,,,,,,PBMP,,21NEB001_WQX-LBB2SWNCRK04,,,,,GRAB,QAPP,Grab Sample,Water Bottle,,Microcystin,,0.69,ug/l,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LBB2SWNCRK04081520111045SRW,Sample-Routine,Water,,8/15/2011,10:45:00,CDT,,,,0,m,,,,,,PBMP,,21NEB001_WQX-LBB2SWNCRK04,,,,,GRAB,QAPP,Grab Sample,Water Bottle,,Microcystin,,0.16,ug/l,,Final,,Actual,,,,,,,,,,,,,ELISA,21NEB001_WQX,Abraxis enzyme-linked immuno-sorbent assay,,,,,,,,,STORET
