OrganizationIdentifier,OrganizationFormalName,ActivityMediaName,ActivityStartDate,MonitoringLocationIdentifier,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultCommentTest,ProviderName
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/4/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/11/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/18/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/25/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0.26,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/1/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/8/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/15/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0.27,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/22/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0.25,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/29/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0.36,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/6/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/13/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0.39,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/20/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0.59,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/27/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0.43,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/3/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0.72,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/10/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0.96,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/17/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,1.33,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/24/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,6.02,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/31/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0.4,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,9/7/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,1.9,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,9/14/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,1.67,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,9/21/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,1.31,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,9/28/2015,21NEB001_WQX-LLP2BRNOAK10,Microcystin,1.29,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/2/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/9/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/16/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/23/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/30/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0.41,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/6/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/13/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/20/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/27/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/4/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/11/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/18/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0.7,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/25/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,1.43,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/1/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0.81,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/8/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,25.76,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/15/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/22/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,1.22,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/29/2016,21NEB001_WQX-LLP2BRNOAK10,Microcystin,2.22,ug/l,,DEQ.NE.GOV
